SourceText,FirstTranslation,FinalTranslation,Reference,SourceLanguage, TargetLanguage
You know what I understand you.,あなたの気持ちがわかります。,あなたの気持ちがわかりますよ。,あのですね、お客様の仰ることは分かります。, English, Japanese
taste is awful,okus je grozan,okus je grozan,užasnog je okusa, English, Croatian
Please let me know what is your #PRS_ORG# model,"Prosím, dejte mi vědět, jaký je váš model #PRS_ORG#.","Prosím, dejte mi vědět, jaký je váš model #PRS_ORG#.","Řekněte mi, prosím, jaký je váš typ #PRS_ORG#.", English, Czech
"""33 дні я, як партизан, жила з нею в квартирі.",33 dny jsem jako partyzán žila s ní v bytě.,Žila jsem s ní v bytě jako partyzán po dobu 33 dnů.,„33 dní jsem s ní žila v bytě jako partyzán., Ukrainian, Czech
Potřebujeme potvrzení ze školy na Ukrajině do jaké třídy vaše děti chodily než přijely do Česka.,"Нам потрібно підтвердження зі школи в Україні, до якого класу ходили ваші діти, перш ніж приїхали до Чехії.","Нам потрібно підтвердження зі школи в Україні, до якого класу ходили ваші діти, перш ніж приїхали до Чехії.","Потребуємо довідку зі школи в Україні про те, в якому класі навчалися ваші діти до приїзду до Чехії.", Czech, Ukrainian
Release the power button.,Drücken Sie die Einschalttaste.,Lassen Sie die Einschalttaste los.,Lassen Sie die Power-Taste los.,English,German
Kas kõik on hästi? Oled veidi kahtlaselt käitunud viimasel ajal,Is everything alright? You have been acting a bit suspiciously lately.,Is everything in order? You have exhibited some unusual behavior recently.,Is everything alright? You have been acting a little suspiciously lately,Estonian,English
I can't even use my yard at this point.,Я даже не могу использовать свой двор в данный момент.,Я даже не могу использовать свой двор в данный момент.,Я даже не могу находиться на своем собственном дворе.,English,Russian
We accept returns within 60 days from the date you received the purchase.,我们接受自您收到购买商品之日起60天内的退货。,我们接受自您收到购买商品之日起60天内的退货。,在收货之日起 60 天内可以退货。,English,Chinese
"Тепер до кордону їдуть в об'їзд через Умань , та Івано-Франківськ .",Nyní k hranici jedou objížďkou přes Uman a Ivano-Frankivsk.,Nyní k hranici jedou objížďkou přes Uman a Ivano-Frankivsk.,Dneska se na hranici jezdí oklikou přes Umaň a Ivano-Frankivsk.,Ukrainian,Czech
